Rk,School,Conf,AP Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
87,Green Bay,Horizon,,28,6,67.9,54.4,13.53,-4.29,-0.46,9.7,9.24,94.94,81.28,13.67
88,Minnesota,Big Ten,,11,19,71.4,73.6,-2.2,10.41,8.89,-0.67,8.21,92.31,82.28,10.03
89,Colorado State,MWC,,20,12,72.3,64.2,8.16,1.43,7.38,0.82,8.2,99.9,88.73,11.18
90,Texas A&M,SEC,,9,20,56.9,63.9,-7,15.17,-0.35,8.52,8.17,89.32,79.56,9.76
91,Vanderbilt,SEC,,12,19,67.6,71.1,-3.48,11.59,8.23,-0.12,8.1,98.56,88.67,9.89
92,East Carolina,AAC,,23,10,62.6,56.7,5.94,2.04,-0.24,8.22,7.97,84.89,75.22,9.67
93,San Diego State,MWC,,23,11,65.5,57.3,8.21,2.46,0.22,7.68,7.9,92.57,81.7,10.87
94,Wisconsin,Big Ten,,11,20,68.5,72.6,-4.13,12.01,7.48,0.4,7.88,96.96,87.19,9.77
95,Pittsburgh,ACC,,10,20,63.1,68.6,-5.57,13.42,3.94,3.91,7.85,94.29,84.21,10.08
96,Tulane,AAC,,18,14,66.4,60.5,5.88,3.39,3.07,4.74,7.81,94.65,84.75,9.91
97,Illinois State,MVC,,24,9,68.8,62.4,6.36,1.6,3.63,4.06,7.7,95.92,85.83,10.09
98,Fordham,A-10,,19,13,72.3,65.3,7,0.9,8.17,-1.04,7.13,92.89,84.26,8.63
99,Richmond,A-10,,21,11,69,61.6,7.38,-0.45,3.76,3.16,6.93,93.68,85.05,8.63
100,Sacramento State,Big Sky,,25,8,68.5,59.9,8.64,-1.77,2.69,4.19,6.87,101.44,90.88,10.56
