Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
27,Utah,Big 12,,,22,9,76.4,63.5,12.90,,13.20,,16.39,9.72,26.10,113.83,79.04,34.79
28,Oklahoma State,Big 12,,24,25,7,76.4,60.4,16.03,,8.95,,14.85,10.13,24.98,108.97,76.17,32.79
29,Georgia Tech,ACC,,,22,11,76.1,64.6,11.42,,13.10,,15.88,8.65,24.52,113.08,80.87,32.21
30,Indiana,Big Ten,,,20,13,69.9,64.2,5.76,,17.77,,11.74,11.78,23.52,109.50,78.26,31.24
31,Mississippi State,SEC,,,22,12,75.0,64.1,10.85,,12.58,,14.63,8.80,23.43,109.11,78.13,30.98
32,Illinois,Big Ten,,,22,10,70.3,61.7,8.66,,14.71,,11.13,12.23,23.36,110.81,78.55,32.26
33,Iowa State,Big 12,,,23,12,76.8,67.2,9.57,,13.35,,17.02,5.90,22.92,113.70,83.38,30.33
34,Oregon,Big Ten,,,20,12,68.0,63.1,4.94,,17.88,,9.79,13.03,22.82,106.26,76.03,30.22
35,Louisville,ACC,,,22,11,71.8,67.5,4.30,,18.31,,13.37,9.24,22.61,110.43,80.42,30.01
36,California,ACC,,,25,9,72.9,64.4,8.50,,14.01,,12.99,9.52,22.51,108.48,78.95,29.52
37,Minnesota,Big Ten,,,25,11,73.4,61.5,11.97,,10.06,,12.51,9.53,22.04,110.72,81.02,29.70
38,Nebraska,Big Ten,,,21,12,75.5,68.2,7.27,,14.71,,16.37,5.61,21.98,113.85,84.33,29.53
39,Creighton,Big East,,,26,7,71.7,63.6,8.06,,13.79,,13.84,8.02,21.85,114.21,83.75,30.46
40,Washington,Big Ten,,,19,14,72.1,64.4,7.73,,12.90,,11.40,9.23,20.63,112.39,84.79,27.61
41,Richmond,A-10,,,28,7,72.0,57.5,14.46,,5.20,,9.60,10.06,19.65,112.20,84.17,28.03
42,Florida,SEC,,,19,18,74.6,71.3,3.35,,14.31,,14.60,3.06,17.66,107.25,84.17,23.08
43,Virginia Tech,ACC,,,19,13,74.8,69.3,5.44,,12.11,,14.74,2.81,17.55,108.93,86.10,22.83
44,Stanford,ACC,,,16,15,72.7,69.3,3.45,,13.91,,13.20,4.16,17.36,109.23,86.44,22.79
45,Harvard,Ivy,,,24,5,68.8,52.9,15.90,,1.02,,5.38,11.53,16.91,102.89,78.59,24.30
46,South Dakota State,Summit,,23,30,4,75.7,62.4,13.26,,4.69,,10.21,6.54,16.75,109.44,86.28,23.16
47,Columbia,Ivy,,,24,7,72.6,59.2,13.42,,2.92,,11.29,5.05,16.34,109.32,86.29,23.03
48,Auburn,SEC,,,12,18,67.7,64.7,3.00,,15.84,,6.30,9.47,15.77,100.99,80.53,20.46
49,Murray State,MVC,,,25,8,86.8,72.7,14.15,,1.55,,20.84,-5.13,15.70,111.18,91.87,19.31
50,Clemson,ACC,,,14,17,66.0,64.0,1.97,,13.21,,5.47,9.71,15.18,105.60,85.35,20.25
51,Colorado,Big 12,,,21,13,68.6,64.5,4.03,,11.14,,8.60,6.57,15.17,104.69,84.00,20.69
52,George Mason,A-10,,,27,6,73.3,57.8,15.42,,0.98,,8.64,6.53,15.16,105.87,85.09,20.79
53,Nevada-Las Vegas,MWC,,,26,8,75.0,62.4,12.62,,2.52,,10.19,4.95,15.14,107.81,87.05,20.76
54,Belmont,MVC,,,26,13,71.1,63.5,7.56,,7.31,,7.39,7.49,14.87,102.05,82.18,19.87
55,Arizona,Big 12,,,19,14,67.9,63.1,4.85,,9.94,,5.36,9.43,14.79,99.03,79.64,19.39
56,Missouri,SEC,,,14,18,68.6,67.7,0.91,,13.21,,7.75,6.37,14.12,105.18,87.46,17.71
57,Marquette,Big East,,,21,11,67.1,59.2,7.88,,6.93,,4.52,8.76,13.28,97.99,80.11,17.88
58,Texas Tech,Big 12,,,19,18,63.7,63.2,0.49,,12.67,,3.14,10.03,13.16,98.50,80.93,17.57
59,Virginia,ACC,,,17,15,70.1,67.5,2.59,,10.55,,9.18,3.96,13.14,101.83,84.99,16.84
60,Middle Tennessee,CUSA,,,26,9,64.0,52.2,11.80,,1.00,,-1.48,14.28,12.80,95.66,77.72,17.94
61,Saint Joseph's,A-10,,,24,10,69.0,56.4,12.59,,1.95,,5.35,7.39,12.74,103.62,85.11,18.52
62,Penn State,Big Ten,,,10,19,72.1,71.7,0.45,,12.27,,11.98,0.74,12.72,102.12,86.51,15.60
63,Boston College,ACC,,,16,18,73.1,70.9,2.18,,10.47,,12.85,-0.20,12.65,104.00,87.89,16.11
64,Princeton,Ivy,,,21,8,66.7,57.2,9.48,,3.14,,4.38,8.24,12.62,104.35,85.76,18.59
65,Grand Canyon,WAC,,,32,3,76.7,57.2,19.51,,-4.59,,7.01,5.37,12.38,102.75,85.89,16.87
66,Villanova,Big East,,,21,15,63.8,64.5,-0.69,,12.93,,5.59,6.64,12.23,101.88,85.63,16.25
67,Kansas,Big 12,,,16,14,65.7,66.8,-1.07,,13.21,,5.61,6.54,12.14,103.02,87.00,16.02
68,Montana State,Big Sky,,,30,4,71.9,55.9,15.94,,-1.73,,4.69,7.36,12.05,98.84,82.88,15.96
69,Missouri State,MVC,,,26,9,73.8,63.7,10.09,,1.77,,7.57,4.29,11.85,101.17,85.69,15.49
70,James Madison,Sun Belt,,,30,6,73.1,63.5,9.56,,2.20,,8.17,3.59,11.76,99.81,84.21,15.60
71,Syracuse,ACC,,,12,18,70.5,71.4,-0.90,,12.38,,9.92,1.56,11.48,102.92,88.07,14.85
72,Drake,MVC,,,22,12,78.0,70.0,7.97,,3.48,,12.92,-1.47,11.45,106.27,91.15,15.12
73,South Florida,AAC,,,23,11,66.0,61.6,4.35,,7.00,,3.89,7.46,11.35,101.60,86.43,15.17
74,St. John's (NY),Big East,,,16,15,60.5,56.6,3.87,,7.43,,0.78,10.52,11.30,100.64,84.30,16.34
75,Seton Hall,Big East,,,23,10,62.3,58.9,3.39,,7.83,,2.07,9.15,11.23,97.93,82.48,15.45
76,Ball State,MAC,,,27,8,72.5,60.5,12.06,,1.06,,6.13,5.08,11.21,99.26,84.84,14.42
77,Miami (FL),ACC,,,14,15,69.2,70.8,-1.59,,12.35,,7.98,2.78,10.77,103.42,89.77,13.65
78,Brigham Young,Big 12,,,13,17,67.9,68.6,-0.70,,11.42,,7.72,3.01,10.72,100.19,85.83,14.37
79,Florida Gulf Coast,A-Sun,,,30,4,71.7,54.0,17.74,,-5.26,,1.99,8.53,10.52,100.35,84.87,15.48
80,Cincinnati,Big 12,,,15,14,65.6,67.0,-1.45,,11.91,,5.66,4.80,10.46,100.14,85.96,14.18
81,Fairfield,MAAC,,,28,5,71.9,55.0,16.94,,-5.72,,4.59,5.70,10.28,100.90,86.30,14.59
82,Liberty,CUSA,,,26,7,72.1,60.2,11.85,,1.41,,6.14,3.66,9.80,103.13,89.31,13.83
83,UTSA,AAC,,,26,5,66.0,56.5,9.55,,-0.10,,1.00,8.45,9.45,97.45,84.33,13.13
84,Georgia,SEC,,,13,19,63.8,68.2,-4.31,,13.65,,2.96,6.38,9.33,97.31,86.28,11.03
85,Northern Iowa,MVC,,,17,17,74.1,69.4,4.65,,5.74,,9.35,-0.13,9.23,102.25,90.44,11.81
86,Portland,WCC,,,31,5,75.7,63.4,12.36,,-1.72,,9.80,-0.72,9.08,101.96,90.16,11.80
87,Wyoming,MWC,,,22,12,65.1,59.0,6.15,,3.45,,-0.18,8.97,8.79,98.84,86.34,12.50
88,Texas A&M,SEC,,,10,19,61.5,68.9,-7.41,,16.08,,2.08,6.60,8.67,96.41,86.08,10.33
89,Green Bay,Horizon,,,29,6,68.3,56.5,11.86,,-1.99,,0.83,7.76,8.59,102.41,88.87,13.54
90,Wisconsin,Big Ten,,,13,17,65.5,71.7,-6.17,,14.66,,6.51,1.98,8.49,103.14,92.80,10.34
91,Norfolk State,MEAC,,,30,5,74.3,56.6,17.63,,-7.18,,4.39,3.95,8.34,96.74,86.25,10.49
92,Wake Forest,ACC,,,9,20,61.6,65.9,-4.31,,12.46,,1.46,6.69,8.15,95.07,84.67,10.40
93,Rutgers,Big Ten,,,13,20,67.8,71.2,-3.39,,11.20,,7.05,0.76,7.81,98.65,89.23,9.43
94,Southern Methodist,ACC,,,10,20,64.6,68.7,-4.13,,11.69,,3.82,3.74,7.55,96.56,87.25,9.31
95,Gonzaga,WCC,,,24,11,68.4,64.4,4.00,,3.54,,5.02,2.51,7.54,101.46,91.39,10.07
96,Northwestern,Big Ten,,,9,18,68.2,74.7,-6.56,,14.00,,8.71,-1.27,7.44,99.43,89.86,9.57
97,Colorado State,MWC,,,22,10,68.5,60.4,8.03,,1.29,,2.78,4.51,7.29,101.14,90.72,10.41
98,Northern Arizona,Big Sky,,,27,8,79.3,71.7,7.60,,0.26,,13.91,-6.80,7.12,102.01,93.43,8.58
99,Davidson,A-10,,,19,14,62.7,57.7,5.00,,2.93,,-1.20,8.31,7.11,94.86,85.11,9.74
100,Temple,AAC,,,20,11,66.7,62.5,4.19,,2.87,,3.61,3.45,7.07,93.50,84.71,8.79
